mouse_id,type,side,area_um2
1179202,cell,GLOBAL,94.07851877
1179202,cell,GLOBAL,57.95803352
1179202,cell,GLOBAL,120.3425971
1179202,cell,GLOBAL,129.3432082
1179202,cell,GLOBAL,109.6303944
1179202,cell,GLOBAL,137.2814521
1179202,cell,GLOBAL,93.93096777
1179202,cell,GLOBAL,151.8004707
1179202,cell,GLOBAL,121.0803521
1179202,cell,GLOBAL,65.63068562
1179202,cell,GLOBAL,198.0724649
1179202,cell,GLOBAL,156.6401435
1179202,cell,GLOBAL,127.395535
1179202,cell,GLOBAL,81.44815301
1179202,cell,GLOBAL,104.4365991
1179202,cell,GLOBAL,159.0304698
1179202,cell,GLOBAL,111.1059044
1179202,cell,GLOBAL,97.29513061
1179202,cell,GLOBAL,98.80015083
1179202,cell,GLOBAL,1.180408015
1179202,cell,GLOBAL,0.531183607
1179202,cell,GLOBAL,130.346555
1179202,cell,GLOBAL,134.8025953
1179202,cell,GLOBAL,197.7773629
1179202,cell,GLOBAL,80.85794901
1179202,cell,GLOBAL,163.8111222
1179202,cell,GLOBAL,74.69031713
1179202,cell,GLOBAL,130.6711672
1179202,cell,GLOBAL,93.51782496
1179202,cell,GLOBAL,174.7594066
1179202,cell,GLOBAL,84.13358125
1179202,cell,GLOBAL,131.822065
1179202,cell,GLOBAL,251.9580907
1179202,cell,GLOBAL,85.22545866
1179202,cell,GLOBAL,131.7335344
1179202,cell,GLOBAL,100.5707629
1179202,cell,GLOBAL,112.6109246
1179202,cell,GLOBAL,50.66901403
1179202,cell,GLOBAL,104.5546399
1179202,cell,GLOBAL,148.5248384
1179202,cell,GLOBAL,158.2927148
1179202,cell,GLOBAL,161.5093266
1179202,cell,GLOBAL,110.7812922
1179202,cell,GLOBAL,115.6504752
1179202,cell,GLOBAL,146.9312876
1179202,cell,GLOBAL,146.4886346
1179202,cell,GLOBAL,165.3751629
1179202,cell,GLOBAL,144.4524308
1179202,cell,GLOBAL,104.4070889
1179202,cell,GLOBAL,90.86190693
1179202,cell,GLOBAL,0.560693807
1179202,cell,GLOBAL,144.6590022
1179202,cell,GLOBAL,140.7636558
1179202,cell,GLOBAL,0.82628561
1179202,cell,GLOBAL,134.8616157
1179202,cell,GLOBAL,95.61304919
1179202,cell,GLOBAL,129.0481062
1179202,cell,GLOBAL,148.3772874
1179202,cell,GLOBAL,116.35872
1179202,cell,GLOBAL,96.3803144
1179202,cell,GLOBAL,135.2157381
1179202,cell,GLOBAL,192.8786696
1179202,cell,GLOBAL,213.9784629
1179202,cell,GLOBAL,164.9325099
1179202,cell,GLOBAL,74.04109272
1179202,cell,GLOBAL,119.2802299
1179202,cell,GLOBAL,124.3559843
1179202,cell,GLOBAL,85.57958107
1179202,cell,GLOBAL,99.89202824
1179202,cell,GLOBAL,77.31672496
1179202,cell,GLOBAL,92.18986595
1179202,cell,GLOBAL,155.9023885
1179202,cell,GLOBAL,84.16309145
1179202,cell,GLOBAL,81.12354081
1179202,cell,GLOBAL,97.47219181
1179202,cell,GLOBAL,136.6322277
1179202,cell,GLOBAL,78.88076558
1179202,cell,GLOBAL,141.4423904
1179202,cell,GLOBAL,152.1841033
1179202,cell,GLOBAL,201.4071175
1179202,cell,GLOBAL,183.9370789
1179202,cell,GLOBAL,123.8248007
1179202,cell,GLOBAL,93.01615156
1179202,cell,GLOBAL,144.0983084
1179202,cell,GLOBAL,77.78888817
1179202,cell,GLOBAL,117.1259853
1179202,cell,GLOBAL,147.6100222
1179202,cell,GLOBAL,123.7952905
1179202,cell,GLOBAL,55.9513399
1179202,cell,GLOBAL,183.1993239
1179202,cell,GLOBAL,159.2960616
1179202,cell,GLOBAL,126.952882
1179202,cell,GLOBAL,92.86860056
1179202,cell,GLOBAL,62.41407378
1179202,cell,GLOBAL,155.6367967
1179202,cell,GLOBAL,127.7791676
1179202,cell,GLOBAL,74.66080693
1179202,cell,GLOBAL,155.3416947
1179202,cell,GLOBAL,62.44358398
1179202,cell,GLOBAL,138.0192071
1179202,cell,GLOBAL,59.55158434
1179202,cell,GLOBAL,83.04170383
1179202,cell,GLOBAL,178.1825898
1179202,cell,GLOBAL,213.2407079
1179202,cell,GLOBAL,140.940717
1179202,cell,GLOBAL,215.6310341
1179202,cell,GLOBAL,67.16521604
1179202,cell,GLOBAL,126.9233718
1179202,cell,GLOBAL,102.9610891
1179202,cell,GLOBAL,90.92092733
1179202,cell,GLOBAL,186.8880989
1179202,cell,GLOBAL,170.4214071
1179202,cell,GLOBAL,165.7292853
1179202,cell,GLOBAL,167.9130401
1179202,cell,GLOBAL,225.487441
1179202,cell,GLOBAL,59.87619655
1179202,cell,GLOBAL,163.0733672
1179202,cell,GLOBAL,109.4533332
1179202,cell,GLOBAL,150.1774097
1179202,cell,GLOBAL,208.4600554
1179202,cell,GLOBAL,78.34958198
1179202,cell,GLOBAL,137.7831255
1179202,cell,GLOBAL,148.2592466
1179202,cell,GLOBAL,143.6851656
1179202,cell,GLOBAL,151.5938993
1179202,cell,GLOBAL,104.2595379
1179202,cell,GLOBAL,63.44693079
1179202,cell,GLOBAL,153.9842255
1179202,cell,GLOBAL,109.1582312
1179202,cell,GLOBAL,141.826023
1179202,cell,GLOBAL,229.0286651
1179202,cell,GLOBAL,51.43627924
1179202,cell,GLOBAL,119.1031687
1179202,cell,GLOBAL,140.0259007
1179202,cell,GLOBAL,109.866476
1179202,cell,GLOBAL,37.74354627
1179202,cell,GLOBAL,109.9550066
1179202,cell,GLOBAL,217.2245849
1179202,cell,GLOBAL,138.8750029
1179202,cell,GLOBAL,143.0654514
1179202,cell,GLOBAL,161.568347
1179202,cell,GLOBAL,214.2145445
1179202,cell,GLOBAL,142.9179004
1179202,cell,GLOBAL,196.774016
1179202,cell,GLOBAL,105.4399459
1179202,cell,GLOBAL,111.5190472
1179202,cell,GLOBAL,164.9325099
1179202,cell,GLOBAL,131.379412
1179202,cell,GLOBAL,106.7088845
1179202,cell,GLOBAL,180.3958548
1179202,cell,GLOBAL,141.2063088
1179202,cell,GLOBAL,77.43476576
1179202,cell,GLOBAL,78.05447997
1179202,cell,GLOBAL,119.1031687
1179202,cell,GLOBAL,141.6194516
1179202,cell,GLOBAL,80.6218674
1179202,cell,GLOBAL,93.90145757
1179202,cell,GLOBAL,167.4703871
1179202,cell,GLOBAL,182.5796097
1179202,cell,GLOBAL,119.9294543
1179202,cell,GLOBAL,117.8047199
1179202,cell,GLOBAL,145.2492062
1179202,cell,GLOBAL,149.0560221
1179202,cell,GLOBAL,147.0493284
1179202,cell,GLOBAL,195.7116488
1179202,cell,GLOBAL,148.465818
1179202,cell,GLOBAL,146.7837366
1179202,cell,GLOBAL,152.9218583
1179202,cell,GLOBAL,140.645615
1179202,cell,GLOBAL,78.76272478
1179202,cell,GLOBAL,119.5458217
1179202,cell,GLOBAL,154.3678581
1179202,cell,GLOBAL,155.6663069
1179202,cell,GLOBAL,125.9495352
1179202,cell,GLOBAL,155.5482661
1179202,cell,GLOBAL,151.3873279
1179202,cell,GLOBAL,116.1521486
1179202,cell,GLOBAL,142.268676
1179202,cell,GLOBAL,61.52876777
1179202,cell,GLOBAL,37.24187286
1179202,cell,GLOBAL,172.5166313
